TATA IPL 2025 Auction List-15.12.24,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Reserve
,,,,,,State,,,,,,,,,,,2024,2024,,
List Sr.No.,Set No.,2025 Set,First Name,Surname,Country,,DOB,Age,Specialism,,,Test caps,ODI caps,T20 caps,IPL,Previous IPLTeam(s),,,C/U/A,Price Rs
,,,,,,Association,,,,,,,,,,,Team,IPL,,
,,,,,,,,,,,,,,,,,,,,Lakh
,,,,,,,,,,,1,,,,,,,,,
TATA IPL 2025 Auction List-15.12.24,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Reserve
,,,,,,State,,,,,,,,,,,2024,2024,,
List Sr.No.,Set No.,2025 Set,First Name,Surname,Country,,DOB,Age,Specialism,,,Test caps,ODI caps,T20 caps,IPL,Previous IPLTeam(s),,,C/U/A,Price Rs
,,,,,,Association,,,,,,,,,,,Team,IPL,,
,,,,,,,,,,,,,,,,,,,,Lakh
67,10,UWK1,Vishnu,Vinod,India,KCA,02/12/1993,31,WICKETKEEPER,RHB,,,,,6,"RCB,DC,SRH,MI",MI,0,Uncapped,30
68,10,UWK1,Upendra Singh,Yadav,India,RSPB,08/10/1996,28,WICKETKEEPER,RHB,,,,,0,SRH,SRH,0,Uncapped,30
69,11,UFA1,Vaibhav,Arora,India,HPCA,14/12/1997,27,BOWLER,RHB,RIGHT ARM Fast Medium,,,,20,"PBKS,KKR",KKR,10,Uncapped,30
70,11,UFA1,Rasikh,Dar,India,JKCA,05/04/2000,25,BOWLER,RHB,RIGHT ARM Fast Medium,,,,11,"MI,,KKR,DC",DC,8,Uncapped,30
71,11,UFA1,Akash,Madhwal,India,CAU,25/11/1993,31,BOWLER,RHB,RIGHT ARM Fast,,,,12,MI,MI,5,Uncapped,30
72,11,UFA1,Mohit,Sharma,India,HCA,18/09/1988,36,BOWLER,RHB,RIGHT ARM Fast,,,,111,"CSK,PBKS,DC,GT",GT,12,Uncapped,50
73,11,UFA1,Simarjeet,Singh,India,DDCA,17/01/1998,27,BOWLER,RHB,RIGHT ARM Fast,,,,10,CSK,CSK,4,Uncapped,30
74,11,UFA1,Yash,Thakur,India,VCA,28/12/1998,26,BOWLER,RHB,RIGHT ARM Fast Medium,,,,19,LSG,LSG,10,Uncapped,30
75,11,UFA1,Kartik,Tyagi,India,UPCA,08/11/2000,24,BOWLER,RHB,RIGHT ARM Fast,,,,20,"RR,SRH,GT",GT,1,Uncapped,40
76,11,UFA1,Vyshak,Vijaykumar,India,KSCA,31/01/1997,28,BOWLER,RHB,RIGHT ARM Fast Medium,,,,11,RCB,RCB,4,Uncapped,30
77,12,USP1,Piyush,Chawla,India,UPCA,24/12/1988,36,BOWLER,LHB,RIGHT ARM Leg Spin,,,,192,"PBKS,KKR,CSK,MI",MI,11,Uncapped,50
78,12,USP1,Shreyas,Gopal,India,KSCA,04/09/1993,31,BOWLER,RHB,RIGHT ARM Leg Spin,,,,52,"RR,SRH,MI",MI,3,Uncapped,30
79,12,USP1,Mayank,Markande,India,PCA,11/11/1997,27,BOWLER,RHB,RIGHT ARM Leg Spin,,,,37,"MI,RR,SRH",SRH,7,Uncapped,30
80,12,USP1,Suyash,Sharma,India,DDCA,15/05/2003,21,BOWLER,RHB,RIGHT ARM Leg Spin,,,,13,KKR,KKR,2,Uncapped,30
81,12,USP1,Karn,Sharma,India,RSPB,23/10/1987,37,BOWLER,LHB,RIGHT ARM Leg Spin,,,,84,"SRH,MI,CSK,RCB",RCB,9,Uncapped,50
82,12,USP1,Kumar Kartikeya,Singh,India,MPCA,26/12/1997,27,BOWLER,RHB,LEFT ARM Slow Orthodox,,,,12,MI,MI,0,Uncapped,30
83,12,USP1,Manav,Suthar,India,RCA,03/08/2002,22,BOWLER,LHB,LEFT ARM Slow Orthodox,,,,0,GT,GT,0,Uncapped,30
84,13,BA2,Mayank,Agarawal,India,KSCA,16/02/1991,34,BATTER,RHB,RIGHT ARM Off Spin,21,,5,127,"RCB,DC,RPS,PBKS,SRH",SRH,4,Capped,100
85,13,BA2,Faf,Du Plessis,South Africa,,13/07/1984,40,BATTER,RHB,,69,143,50,145,"CSK,RPS,RCB",RCB,15,Capped,200
86,13,BA2,Glenn,Phillips,New Zealand,,06/12/1996,28,BATTER,RHB,RIGHT ARM Off Spin,11,30,78,8,"RR,SRH",SRH,0,Capped,200
87,13,BA2,Rovman,Powell,West Indies,,23/07/1993,31,BATTER,RHB,RIGHT ARM Fast Medium,,51,83,27,"KKR,DC,RR",RR,10,Capped,150
88,13,BA2,Ajinkya,Rahane,India,MCA,06/06/1988,36,BATTER,RHB,,85,90,20,185,"MI,RPS,RR,DC,KKR,SRH",CSK,13,Capped,150
89,13,BA2,Prithvi,Shaw,India,MCA,09/11/1999,25,BATTER,RHB,,5,6,1,79,DC,DC,8,Capped,75
90,13,BA2,Kane,Williamson,New Zealand,,08/08/1990,34,BATTER,RHB,,102,165,93,79,"SRH,GT",GT,2,Capped,200
91,14,AL2,Sam,Curran,England,,03/06/1998,26,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,24,33,53,59,"CSK,PBKS",PBKS,13,Capped,200
92,14,AL2,Marco,Jansen,South Africa,,01/05/2000,24,ALL-ROUNDER,RHB,LEFT ARM Fast,13,23,13,21,"MI,SRH",SRH,3,Capped,125
93,14,AL2,Daryl,Mitchell,New Zealand,,20/05/1991,33,ALL-ROUNDER,RHB,RIGHT ARM Medium,27,39,67,15,"RR,CSK",CSK,12,Capped,200
94,14,AL2,Krunal,Pandya,India,BCA,24/03/1991,34,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,5,9,127,"MI,LSG",LSG,14,Capped,200
95,14,AL2,Nitish,Rana,India,UPCA,27/12/1993,31,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,,1,2,107,"MI,KKR",KKR,2,Capped,150
96,14,AL2,Washington,Sundar,India,TNCA,05/10/1999,25,ALL-ROUNDER,LHB,RIGHT ARM Off Spin,6,22,52,61,"RPS,RCB,SRH",SRH,2,Capped,200
97,14,AL2,Shardul,Thakur,India,MCA,16/10/1991,33,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,11,47,25,95,"PBKS,RPS,DC,KKR,CSK",CSK,9,Capped,200
98,15,WK2,K.S,Bharat,India,ACA,03/10/1993,31,WICKETKEEPER,RHB,,7,,,11,"RCB,DC,GT,KKR",KKR,0,Capped,75
99,15,WK2,Alex,Carey,Australia,,27/08/1991,33,WICKETKEEPER,LHB,,32,76,38,3,DC,,,Capped,100
100,15,WK2,Donovan,Ferreira,South Africa,,21/07/1998,26,WICKETKEEPER,RHB,RIGHT ARM Off Spin,,,4,2,RR,RR,2,Capped,75
101,15,WK2,Shai,Hope,West Indies,,10/11/1993,31,WICKETKEEPER,RHB,,38,128,36,9,DC,DC,9,Capped,125
102,15,WK2,Josh,Inglis,Australia,,04/03/1995,30,WICKETKEEPER,RHB,,,23,26,,,,,Capped,200
103,15,WK2,Ryan,Rickelton,South Africa,,11/07/1996,28,WICKETKEEPER,LHB,,7,5,8,,,,,Capped,100
104,16,FA2,Deepak,Chahar,India,RCA,07/08/1992,32,BOWLER,RHB,RIGHT ARM Fast Medium,,13,25,81,"RPS,CSK",CSK,8,Capped,200
105,16,FA2,Gerald,Coetzee,South Africa,,02/10/2000,24,BOWLER,RHB,RIGHT ARM Fast,3,14,6,10,MI,Mi,10,Capped,125
106,16,FA2,Akash,Deep,India,CAB,15/12/1996,28,BOWLER,RHB,RIGHT ARM Fast,4,,,8,RCB,RCB,1,Capped,100
107,16,FA2,Tushar,Deshpande,India,MCA,15/05/1995,29,BOWLER,LHB,RIGHT ARM Fast,,,2,36,"DC,CSK",CSK,13,Capped,100
108,16,FA2,Lockie,Ferguson,New Zealand,,13/06/1991,33,BOWLER,RHB,RIGHT ARM Fast,1,65,42,45,"RPS,GT,KKR,RCB",RCB,7,Capped,200
109,16,FA2,Bhuvneshwar,Kumar,India,UPCA,05/02/1990,35,BOWLER,RHB,RIGHT ARM Fast Medium,21,121,87,176,"PWI,SRH",SRH,16,Capped,200
110,16,FA2,Mukesh,Kumar,India,CAB,12/10/1993,31,BOWLER,RHB,RIGHT ARM Fast Medium,3,6,17,20,DC,DC,10,Capped,200
111,17,SP2,Allah,Ghazanfar,Afghanistan,,20/03/2006,19,BOWLER,RHB,RIGHT ARM Off Spin,,5,0,0,KKR,KKR,0,Capped,75
112,17,SP2,Akeal,Hosein,West Indies,,25/04/1993,31,BOWLER,LHB,LEFT ARM Slow Orthodox,,38,60,1,SRH,,,Capped,150
113,17,SP2,Keshav,Maharaj,South Africa,,07/02/1990,35,BOWLER,RHB,LEFT ARM Slow Orthodox,54,44,35,2,RR,RR,2,Capped,75
114,17,SP2,Mujeeb Ur,Rahman,Afghanistan,,28/03/2001,24,BOWLER,RHB,RIGHT ARM Off Spin,1,75,46,19,"PBKS,SRH,KKR",,,Capped,200
115,17,SP2,Adil,Rashid,England,,17/02/1988,37,BOWLER,RHB,RIGHT ARM Leg Spin,19,141,116,3,"PBKS,SRH",,,Capped,200
116,17,SP2,Vijayakanth,Viyaskanth,Sri Lanka,,05/12/2001,23,BOWLER,RHB,RIGHT ARM Leg Spin,,,1,3,SRH,SRH,3,Capped,75
117,18,UBA2,Ricky,Bhui,India,ACA,29/09/1996,28,BATTER,RHB,,,,,4,"SRH,DC",DC,2,Uncapped,30
118,18,UBA2,Swastik,Chhikara,India,UPCA,03/04/2005,20,BATTER,RHB,RIGHT ARM Off Spin,,,,0,DC,DC,0,Uncapped,30
119,18,UBA2,Aarya,Desai,India,GUCA,03/04/2003,22,BATTER,LHB,RIGHT ARM Off Spin,,,,0,KKR,,,Uncapped,30
120,18,UBA2,Shubham,Dubey,India,VCA,27/08/1994,30,BATTER,LHB,RIGHT ARM Off Spin,,,,4,RR,RR,0,Uncapped,30
121,18,UBA2,Madhav,Kaushik,India,UPCA,03/01/1998,27,BATTER,RHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,30
122,18,UBA2,Pukhraj,Mann,India,PCA,07/06/2001,23,BATTER,LHB,RIGHT ARM Off Spin,,,,,,,,Uncapped,30
123,18,UBA2,Shaik,Rasheed,India,ACA,24/09/2004,20,BATTER,RHB,RIGHT ARM Leg Spin,,,,0,CSK,CSK,0,Uncapped,30
124,18,UBA2,Himmat,Singh,India,DDCA,08/11/1996,28,BATTER,RHB,RIGHT ARM Off Spin,,,,0,RCB,,,Uncapped,30
125,19,UAL2,Mayank,Dagar,India,HPCA,11/11/1996,28,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,8,"PBKS,SRH,RCB",RCB,5,Uncapped,30
126,19,UAL2,Anshul,Kamboj,India,HCA,06/12/2000,24,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,3,MI,MI,3,Uncapped,30
127,19,UAL2,Mohd. Arshad,Khan,India,MPCA,20/12/1997,27,ALL-ROUNDER,LHB,LEFT ARM Fast Medium,,,,10,"MI,LSG",LSG,4,Uncapped,30
128,19,UAL2,Darshan,Nalkande,India,VCA,04/10/1998,26,ALL-ROUNDER,RHB,RIGHT ARM Fast Medium,,,,5,"PBKS,GT",GT,3,Uncapped,30
129,19,UAL2,Suyash,Prabhudessai,India,GCA,06/12/1997,27,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,1,RCB,RCB,11,Uncapped,30
130,19,UAL2,Anukul,Roy,India,JSCA,30/11/1998,26,ALL-ROUNDER,LHB,LEFT ARM Slow Orthodox,,,,11,"MI,KKR",KKR,4,Uncapped,30
131,19,UAL2,Swapnil,Singh,India,CAU,22/01/1991,34,ALL-ROUNDER,RHB,LEFT ARM Slow Orthodox,,,,14,"PBKS,LSG,RCB",PBKS,7,Uncapped,30
132,19,UAL2,Sanvir,Singh,India,PCA,12/10/1996,28,ALL-ROUNDER,RHB,RIGHT ARM Fast,,,,6,SRH,SRH,4,Uncapped,30
,,,,,,,,,,,2,,,,,,,,,
TATA IPL 2025 Auction List-15.12.24,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Reserve
,,,,,,State,,,,,,,,,,,2024,2024,,
List Sr.No.,Set No.,2025 Set,First Name,Surname,Country,,DOB,Age,Specialism,,,Test caps,ODI caps,T20 caps,IPL,Previous IPLTeam(s),,,C/U/A,Price Rs
,,,,,,Association,,,,,,,,,,,Team,IPL,,
,,,,,,,,,,,,,,,,,,,,Lakh
133,20,UWK2,Avanish,Aravelly,India,HYCA,02/06/2005,19,WICKETKEEPER,LHB,RIGHT ARM Off Spin,,,,0,,CSK,0,Uncapped,30
134,20,UWK2,Vansh,Bedi,India,DDCA,23/12/2002,22,WICKETKEEPER,RHB,,,,,,,,,Uncapped,30
135,20,UWK2,Saurav,Chauhan,India,GUCA,27/05/2000,24,WICKETKEEPER,LHB,RIGHT ARM Off Spin,,,,3,RCB,RCB,3,Uncapped,30
136,20,UWK2,Harvik,Desai,India,SCA,04/10/1999,25,WICKETKEEPER,RHB,,,,,0,MI,MI,0,Uncapped,30
137,20,UWK2,Tom,Kohler-Cadmore,England,,19/08/1994,30,WICKETKEEPER,RHB,,,,,4,RR,RR,4,Uncapped,50
138,20,UWK2,Kunal,Rathore,India,RCA,09/10/2002,22,WICKETKEEPER,LHB,RIGHT ARM Off Spin,,,,0,RR,RR,0,Uncapped,30
139,20,UWK2,B.R,Sharath,India,KSCA,28/09/1996,28,WICKETKEEPER,RHB,,,,,1,GT,GT,1,Uncapped,30
140,21,UFA2,Gurnoor Singh,Brar,India,PCA,25/05/2000,24,BOWLER,LHB,RIGHT ARM Fast,,,,1,"PBKS,GT",GT,0,Uncapped,30
141,21,UFA2,Mukesh,Choudhary,India,MACA,06/07/1996,28,BOWLER,LHB,LEFT ARM Fast,,,,14,CSK,CSK,1,Uncapped,30
142,21,UFA2,Sakib,Hussain,India,BICA,14/12/2004,20,BOWLER,RHB,RIGHT ARM Fast Medium,,,,0,KKR,KKR,0,Uncapped,30
143,21,UFA2,Vidwath,Kaverappa,India,KSCA,25/02/1999,26,BOWLER,RHB,RIGHT ARM Fast Medium,,,,1,PBKS,PBKS,1,Uncapped,30
144,21,UFA2,Rajan,Kumar,India,CAU,08/07/1996,28,BOWLER,LHB,LEFT ARM Fast,,,,0,RCB,RCB,0,Uncapped,30
145,21,UFA2,Sushant,Mishra,India,JSCA,23/12/2000,24,BOWLER,LHB,LEFT ARM Fast,,,,0,GT,GT,0,Uncapped,30
146,21,UFA2,Arjun,Tendulkar,India,GCA,24/09/1999,25,BOWLER,LHB,LEFT ARM Fast Medium,,,,5,MI,MI,1,Uncapped,30
147,22,USP2,Zeeshan,Ansari,India,UPCA,16/12/1999,25,BOWLER,RHB,RIGHT ARM Leg Spin,,,,,,,,Uncapped,30
148,22,USP2,Prince,Choudhary,India,DDCA,29/09/1999,25,BOWLER,RHB,RIGHT ARM Leg Spin,,,,0,PBKS,PBKS,0,Uncapped,30
149,22,USP2,Himanshu,Sharma,India,RCA,06/06/1998,26,BOWLER,RHB,RIGHT ARM Leg Spin,,,,1,RCB,RCB,1,Uncapped,30
150,22,USP2,M.,Siddharth,India,TNCA,03/07/1998,26,BOWLER,RHB,LEFT ARM Slow Orthodox,,,,3,"KKR,DC,LSG",LSG,3,Uncapped,30
